abeille,Insecte producteur de miel
abricot,Fruit orange à noyau
accordeon,Instrument de musique à soufflet
acteur,Personne jouant dans un film
addition,Operation mathématique
aigle,Oiseau rapace
alpinisme,Escalade de montagnes
ambulance,Vehicule pour urgences medicales
ananas,Fruit tropical à couronne
ancre,Garde un bateau en place
angle,Forme par deux lignes qui se croisent
animal,être vivant non humain
antenne,Capte les ondes
araignee,Tisse une toile
arbre,Plante à tronc
armure,Protection pour chevalier
astronaute,Va dans l'espace
avion,Transporte dans les airs
baleine,Plus grand animal marin
ballon,Rond et souvent gonfle
banane,Fruit jaune
barometre,Mesure la pression
bateau,Navigue sur l'eau
bibliotheque,Lieu de lecture
bicyclette,Vehicule à deux roues
bijou,Ornement precieux
bison,Gros animal d Amerique
blizzard,Tempête de neige
bonbon,Sucrerie
bouquet,Ensemble de fleurs
boussole,Indique le nord
brouillard,Reduit la visibilite
cacahuete,Graine souvent salee
cactus,Plante du desert
calendrier,Organise les jours
cameleon,Change de couleur
camera,Sert a filmer
camping,Vacances sous tente
capitaine,Chef sur un bateau
carotte,Légume orange
cartable,Sert a porter les cahiers
cascade,Chute d'eau
cassoulet,Plat du Sud-Ouest
chateau,Residence royale
chat,Animal domestique qui ronronne
cheval,Animal à criniere
chocolat,Fait à partir de cacao
cigogne,Oiseau associe aux bebes
citron,Agrume jaune et acide
cle,Sert à ouvrir une serrure
clown,Fait rire dans un cirque
coiffeur,Coupe les cheveux
collier,Bijou de cou
comete,Corps celeste lumineux
compas,Trace des cercles
coquillage,Trouve sur la plage
corbeau,Oiseau noir
crayon,Sert à ecrire
crocodile,Reptile a grandes machoires
cuisine,Lieu où l'on prepare les repas
dauphin,Mammifere marin intelligent
desert,Region très sèche
dictionnaire,Livre de mots
dinosaure,Animal prehistorique
docteur,Soigne les malades
dragon,Creature legendaire
echelle,Sert a monter
ecole,Lieu d'apprentissage
ecureuil,Aime les noisettes
elephant,Animal avec une trompe
eleve,Apprend à l'école
emeraude,Pierre precieuse verte
escargot,Avance lentement avec sa coquille
espion,Agent secret
etoile,Brille dans le ciel la nuit
fantome,Esprit d outre-tombe
ferme,Exploitation agricole
feu,Chaleur et lumiere
fleur,Coloree et parfumee
flûte,Instrument à vent
foret,Remplie d'arbres
fourchette,Sert à manger
fusee,Va dans l espace
gateau,Dessert d anniversaire
girafe,Animal au long cou
globe,Representation de la Terre
grenouille,Saute dans l'eau
guitare,Instrument à cordes
horloge,Donne l'heure
igloo,Maison de neige
ile,Terre entouree d'eau
insecte,Petit animal à six pattes
jardin,Espace exterieur cultive
jungle,Foret dense et tropicale
kangourou,Marsupial bondissant
kiwi,Fruit poilu et vert
lampe,Source de lumière
lune,Satellite naturel de la Terre
maison,Lieu d habitation
mammifere,Classe d'animaux a poils
manger,Action de consommer de la nourriture
montagne,elevation naturelle du sol
nid,Abri des oiseaux
ocean,Grande etendue d eau salee
orange,Fruit rond et juteux
papillon,Insecte colore
parapluie,Protege de la pluie
piano,Instrument à touches
plage,Rivage sablonneux
plante,Organisme vivant chlorophyllien
porte,Ouvre et ferme un passage
poulet,Jeune oiseau domestique
quartz,Mineral dur et transparent
arbre,dans la nature
requin,animal marin
poisson,animal marin
eclipse,Quand la lumière disparait mais pas pour toujours
