abeille,Insecte producteur de miel
abricot,Fruit orange à noyau
accordéon,Instrument de musique à soufflet
acteur,Personne jouant dans un film
addition,Operation mathématique
aigle,Oiseau rapace
alpinisme,Escalade de montagnes
ambulance,Vehicule pour urgences medicales
ananas,Fruit tropical à couronne
ancre,Garde un bateau en place
angle,Forme par deux lignes qui se croisent
animal,être vivant non humain
antenne,Capte les ondes
araignée,Tisse une toile
arbre,Plante à tronc
armure,Protection pour chevalier
astronaute,Va dans l'espace
avion,Transporte dans les airs
baleine,Plus grand animal marin
ballon,Rond et souvent gonfle
banane,Fruit jaune
baromètre,Mesure la pression
bateau,Navigue sur l'eau
bicyclette,Vehicule à deux roues
bijou,Ornement precieux
bison,Gros animal d Amerique
blizzard,Tempête de neige
bonbon,Sucrerie
bouquet,Ensemble de fleurs
boussole,Indique le nord
brouillard,Reduit la visibilite
cacahuète,Graine souvent salee
cactus,Plante du desert
calendrier,Organise les jours
caméléon,Change de couleur
caméra,Sert a filmer
camping,Vacances sous tente
capitaine,Chef sur un bateau
carotte,Légume orange
cartable,Sert a porter les cahiers
cascade,Chute d'eau
cassoulet,Plat du Sud-Ouest
château,Residence royale
chat,Animal domestique qui ronronne
cheval,Animal à crinière
chocolat,Fait à partir de cacao
cigogne,Oiseau associe aux bébés
citron,Agrume jaune et acide
clé,Sert à ouvrir une serrure
clown,Fait rire dans un cirque
coiffeur,Coupe les cheveux
collier,Bijou de cou
comète,Corps céleste lumineux
compas,Trace des cercles
coquillage,Trouve sur la plage
corbeau,Oiseau noir
crayon,Sert à ecrire
crocodile,Reptile a grandes machoires
cuisine,Lieu où l'on prépare les repas
dauphin,Mammifère marin intelligent
désert,Region très sèche
dictionnaire,Livre de mots
dinosaure,Animal préhistorique
docteur,Soigne les malades
dragon,Créature légendaire
échelle,Sert à monter
école,Lieu d'apprentissage
écureuil,Aime les noisettes
élephant,Animal avec une trompe
élève,Apprend à l'école
émeraude,Pierre précieuse verte
escargot,Avance lentement avec sa coquille
espion,Agent secret
étoile,Brille dans le ciel la nuit
fantome,Esprit d outre-tombe
ferme,Exploitation agricole
feu,Chaleur et lumière
fleur,Colorée et parfumée
flûte,Instrument à vent
fôret,Remplie d'arbres
fourchette,Sert à manger
fusée,Va dans l espace
gateau,Dessert d anniversaire
girafe,Animal au long cou
globe,Representation de la Terre
grenouille,Saute dans l'eau
guitare,Instrument à cordes
horloge,Donne l'heure
igloo,Maison de neige
ile,Terre entouree d'eau
insecte,Petit animal à six pattes
jardin,Espace exterieur cultive
jungle,Foret dense et tropicale
kangourou,Marsupial bondissant
kiwi,Fruit poilu et vert
lampe,Source de lumière
lune,Satellite naturel de la Terre
maison,Lieu d habitation
mammifère,Classe d'animaux a poils
manger,Action de consommer de la nourriture
montagne,élévation naturelle du sol
nid,Abri des oiseaux
océan,Grande etendue d eau salee
orange,Fruit rond et juteux
papillon,Insecte colore
parapluie,Protege de la pluie
piano,Instrument à touches
plage,Rivage sablonneux
plante,Organisme vivant chlorophyllien
porte,Ouvre et ferme un passage
poulet,Jeune oiseau domestique
quartz,Mineral dur et transparent
arbre,dans la nature
requin,animal marin
poisson,animal marin
éclipse,Quand la lumière disparait mais pas pour toujours
